3_years_annualised_%_,on_going_charge_%_,name,asset_class
6.53,0.91,Templeton Global Total Return Fund W(Mdis)GBP,–
5.28,0.79,Templeton Global Total Return Bond Fund W(inc),Bonds
5.3,0.79,Templeton Global Total Return Bond Fund W(acc),Bonds
5.05,0.9,Capital Group Emerging Markets Local Currency Debt Fund (LUX) Zd GBP,Bonds
7.34,0.97,Schroder Asian Income Maximiser Z Income GBP,Asia and Emerging Markets
7.62,0.91,Capital Group Global High Income Opportunities (LUX) Zgd GBP,Bonds
6.89,0.9,Templeton Global Bond Fund W(Mdis)GBP,Bonds
7.36,0.97,Schroder Asian Income Maximiser Z Accumulation GBP,Asia and Emerging Markets
4.28,0.72,Schroder High Yield Opportunities Fund Z Income GBP,Bonds
5.27,0.7,Invesco High Yield Fund (UK) Y (Inc),Bonds
5.58,0.79,Threadneedle Emerging Market Local Fund Z Income GBP,Bonds
4.26,0.72,Schroder High Yield Opportunities Fund Z Accumulation GBP,Bonds
5.27,0.7,Invesco High Yield Fund (UK) Y (Acc),Bonds
4.87,0.88,TB Wise Multi-Asset Income B Inc,Alternatives and Other
8.03,0.75,M&G Emerging Markets Bond Fund Sterling I Inc,Bonds
6.12,0.76,Threadneedle Emerging Market Bond Fund Z Income GBP,Bonds
9.17,0.88,Janus Henderson Asian Dividend Income Unit Trust I Inc,Asia and Emerging Markets
4.88,0.88,TB Wise Multi-Asset Income B Acc,Alternatives and Other
9.13,0.88,Janus Henderson Asian Dividend Income Unit Trust I Acc,Asia and Emerging Markets
7.73,0.83,Royal London Sterling Extra Yield Bond Fund A,Bonds
9.07,0.88,Man GLG UK Income Fund Professional Accumulation Shares (Class C),UK
3.88,0.72,Artemis High Income Fund I Inc,Bonds
10.32,0.92,Legg Mason IF RARE Global Infrastructure Income Fund Class X Income,Global
4.76,0.57,AXA Global High Income Z Gross Inc,Bonds
9.1,0.88,Man GLG UK Income Fund Professional Income Shares (Class D),UK
3.42,0.35,Liontrust Monthly Income Bond Fund Class P Gross Income,Bonds
10.28,0.92,Legg Mason IF RARE Global Infrastructure Income Fund Class X Accumulation,Global
4.76,0.57,AXA Global High Income Z Gross Acc,Bonds
6.1,0.87,MI Chelverton UK Equity Income Fund B Income shares,UK
3.81,0.81,"
ASI European High Yield Bond Fund I Inc",Bonds
4.67,0.35,Legal & General Emerging Markets Government Bond (Local Currency) Index Fund I Class Distribution,Bonds
4.46,0.79,Kames High Yield Bond Fund GBP B Inc,Bonds
6.09,0.87,MI Chelverton UK Equity Income Fund B Accumulation shares,UK
4.73,0.6,AXA Framlington Managed Income Fund Z Gross GBP Inc,Bonds
8.08,0.75,M&G Emerging Markets Bond Fund Sterling I Acc,Bonds
3.81,0.81,"
ASI European High Yield Bond Fund I Acc",Bonds
4.44,0.79,Kames High Yield Bond Fund GBP B Acc,Bonds
6.86,1.25,Matthews Asia Funds - Asia Credit Opportunities Fund I GBP Dist,–
4.68,0.35,Legal & General Emerging Markets Government Bond (Local Currency) Index Fund I Class Accumulation,Bonds
3.08,0.55,Close Select Fixed Income Fund X Inc,Alternatives and Other
4.56,0.68,M&G Global High Yield Bond Fund Sterling I Inc,Bonds
3.73,0.72,Artemis High Income Fund I Monthly Inc,Bonds
3.32,1.54,BMO MM Navigator Distribution Fund C Inc,Alternatives and Other
18.75,0.87,AXA Framlington FinTechl Fund Z INC,Alternatives and Other
6.98,0.97,Liontrust Asia Income Fund I Inc,Asia and Emerging Markets
17.17,0.87,AXA Framlington FinTech Fund Z GBP Acc,Alternatives and Other
4.66,0.6,AXA Framlington Managed Income Fund Z Gross GBP Acc,Bonds
6.69,0.81,Unicorn UK Ethical Incomev Fund Class B Income,UK
4.54,0.82,Lazard Multicap UK Income Fund A Inc,UK
4.09,0.7,M&G UK Income Distribution Fund Sterling I Inc,Alternatives and Other
5.95,0.59,Kames Diversified Monthly Income Fund GBP B Inc,Alternatives and Other
4.47,0.81,LF Miton UK Multi Cap Income Fund B Income Institutional,UK
4.43,1.25,Premier Multi-Asset Monthly Income Fund C Income Shares,Alternatives and Other
4.53,0.82,Lazard Multicap UK Income Fund A Acc,UK
6.65,0.81,Unicorn UK Ethical Incomev Fund Class B Accumulation,UK
5.98,0.6,Kames Diversified Monthly Income Fund GBP B Acc,Alternatives and Other
4.42,0.83,Marlborough High Yield Fixed Interest Fund Class P Inc,Bonds
4.47,0.81,LF Miton UK Multi Cap Income Fund B Acc Institutional,UK
4.72,0.52,Franklin UK Equity Income Fund W(inc),UK
4.75,0.79,Hermes Global High Yield Credit Fund Class F GBP Distributing Hedged,Bonds
5.36,0.84,AXA Framlington Monthly Income Fund Z GBP Inc,UK
5.29,0.8,Discovery Balanced Fund C Sterling Net Income,Alternatives and Other
4.43,1.25,Premier Multi-Asset Monthly Income Fund C Acc,Alternatives and Other
2.93,0.62,Aviva Investors Managed High Income Fund 2 GBP Inc,Bonds
5.27,0.8,Discovery Balanced Fund C Sterling Net Accumulation,Alternatives and Other
8.34,0.75,NGAM Investment Funds U.K. ICVC - Loomis Sayles Strategic Income Fund N/D(GBP),Bonds
6.16,0.81,Unicorn UK Income B Inc,UK
4.08,0.66,MI TwentyFour AM Focus Bond Fund A Income Gross shares,Alternatives and Other
4.27,0.88,River and Mercantile UK Equity Income Fund B Inc,UK
7.7,0.93,BlackRock Continental European Income Fund D Inc,Europe
4.73,0.52,Franklin UK Equity Income Fund W(acc),UK
8.9,0.94,Fidelity Global Enhanced Income Fund W Inc,Global
3.09,0.94,Jupiter Income Trust I Inc,UK
8.89,0.94,Fidelity Global Enhanced Income Fund W Income Monthly,Global
4.56,0.81,Aviva Investors UK Listed Equity Income Fund 2 GBP Inc,UK
7.41,0.95,Jupiter Monthly Alternative Income I Inc,Alternatives and Other
7.69,0.93,BlackRock Continental European Income Fund D Acc,Europe
4.62,0.8,BlackRock UK Income Fund Class S GBP Income,UK
3.41,0.79,"
BNY Mellon Investment Funds - Newton UK Income Fund Institutional W Income",UK
4.65,0.91,Schroder Income Fund Z Income GBP,UK
4.78,0.67,Royal London UK Equity Income M,UK
5.18,0.81,BMO Responsible UK Income Fund 2 Inc,UK
5.71,1.85,"
Schroder International Selection Fund European Equity Yield A Distribution GBP AV",Europe
3.3,0.66,Schroder Strategic Credit Fund L Income GBP,Bonds
5.78,0.82,Artemis Income Fund I Inc,UK
4.56,0.81,Aviva Investors UK Listed Equity Income Fund 2 GBP Acc,UK
6.7,0.23,Invesco UK Enhanced Index Fund (UK) Y (Inc),UK
7.31,0.95,Jupiter Monthly Alternative Income I Acc,Alternatives and Other
4.69,0.77,MI TwentyFour AM Dynamic Bond Fund I Income shares,Bonds
4.82,0.73,Threadneedle High Yield Bond Fund Z Income GBP,Bonds
6.98,0.84,Investec UK Equity Income I Inc 2,UK
4.8,0.68,Royal London UK Equity Income M GBP Acc,UK
5.53,0.69,Janus Henderson Fixed Interest Monthly Income Fund I Acc,Bonds
5.3,0.85,Artemis Monthly Distribution Fund I Inc,Alternatives and Other
4.65,0.91,Schroder Income Fund Z Accumulation GBP,UK
4.85,0.56,BMO Multi-Sector Higher Income Bond Fund C Inc,Bonds
4.69,0.77,MI TwentyFour AM Dynamic Bond Fund I Accumulation shares,Bonds
6.73,1.35,Polar Capital Funds PLC - Polar Capital Global Convertible Fund I Income GBP,Alternatives and Other
5.78,0.82,Artemis Income Fund I Acc,UK
6.71,0.23,Invesco UK Enhanced Index Fund (UK) Y (Acc),UK
7.39,0.75,J O Hambro Capital Management UK Dynamic Fund Y GBP Inc,UK
7.06,0.86,Montanaro UK Income Fund GBP Class,UK
3.97,0.78,"
Rathbone Income Fund Institutional Acc",UK
8.22,0.95,Schroder Global Equity Income Fund Z Income GBP,Global
4.03,0.91,Fidelity Investment Funds IV - Fidelity Multi Asset Income Fund N Inc,Alternatives and Other
5.13,0.67,"
Rathbone Ethical Bond Fund Institutional Inc",Bonds
4.51,0.89,Aberdeen Standard SICAV I - Select Euro High Yield Bond Fund X MInc GBP,Bonds
4.57,0.68,M&G Global High Yield Bond Fund Sterling I Acc,Bonds
5.28,0.85,Artemis Monthly Distribution Fund I Acc,Alternatives and Other
5.37,0.84,AXA Framlington Monthly Income Fund Z GBP Acc,UK
5.69,0.74,"
BNY Mellon Investment Funds - Newton Multi-Asset Income Fund Institutional W Income",Alternatives and Other
4.47,0.82,Threadneedle UK Equity Income Fund Z Income GBP,UK
4.6,0.8,BlackRock UK Income Fund Class S GBP Accumulation,UK
4.01,0.87,Trojan Income Fund X Income,UK
7.53,0.83,Legal & General Asian Income Trust I Class Distribution,Asia and Emerging Markets
3.99,0.78,"
Rathbone Income Fund Institutional Inc",UK
5.79,0.07,iShares 100 UK Equity Index Fund (UK) D Acc,UK
5.77,0.7,"
M&G European High Yield Bond Fund Sterling I Inc",Bonds
2.8,0.62,Aviva Investors Higher Income Plus Fund 2 GBP Inc,Bonds
5.08,0.67,"
Rathbone Ethical Bond Fund Institutional Acc",Bonds
4.82,0.69,Janus Henderson Preference & Bond Fund I Inc,Bonds
8.23,0.95,Schroder Global Equity Income Fund Z Accumulation GBP,Global
5.69,0.74,"
BNY Mellon Investment Funds - Newton Multi-Asset Income Fund Institutional W Accumulation",Alternatives and Other
5.55,1.04,Capital Group Emerging Markets Total Opportunities (LUX) Zd GBP,Alternatives and Other
3.7,0.7,EdenTree Amity Sterling Bond Fund B Income,Bonds
4.46,0.82,Threadneedle UK Equity Income Fund Z Accumulation GBP,UK
8.18,0.99,Guinness Asian Equity Income Fund Class Y GBP Distribution,Asia and Emerging Markets
7.42,0.74,J O Hambro Capital Management UK Dynamic Fund Y GBP Acc,UK
7.52,0.83,Legal & General Asian Income Trust I Class Accumulation,Asia and Emerging Markets
7.38,0.63,Royal London UK Dividend Growth Fund M,UK
1.75,0.63,Aviva Investors Strategic Bond Fund 2 GBP Inc,Bonds
6.78,0.82,ASI Emerging Market Government Bond Fund Platform 1-Inc-GBP-Unhedged,Bonds
5.67,0.13,Legal & General (N) Tracker Trust I Class Distribution,UK
6.03,0.13,Legal & General UK Index Trust I Class Distribution,UK
4.81,0.69,Janus Henderson Preference & Bond Fund I Acc,Bonds
4.14,0.74,Jupiter Strategic Bond I Inc,Bonds
5.85,0.38,Baillie Gifford High Yield Bond Fund B Income,Bonds
4.21,0.94,Fidelity Investment Funds IV - Fidelity Multi Asset Balanced Income Fund N Inc,Alternatives and Other
5.85,0.96,Marlborough Extra Income Fund Class P Inc,Alternatives and Other
4.86,0.92,Rathbone Strategic Income Portfolio Accumulation,Alternatives and Other
3.5,0.87,HSBC World Selection - Interest Income Portfolio Income C,Alternatives and Other
2.81,1.52,"
HSBC World Selection - Interest Income Portfolio Retail Income",Alternatives and Other
4.25,0.84,Janus Henderson UK Responsible Income Fund I Inc,UK
4.34,0.62,Schroder Sterling Corporate Bond Fund Z Income GBP,Bonds
5.69,0.07,HSBC FTSE All Share Index Fund C Income,UK
6.8,0.82,ASI Emerging Market Government Bond Fund Platform 1-Acc-GBP-Unhedged,Bonds
4.11,0.74,Jupiter Strategic Bond I Acc,Bonds
5.7,0.13,Legal & General (N) Tracker Trust I Class Accumulation,UK
6.04,0.13,Legal & General UK Index Trust I Class Accumulation,UK
5.79,0.07,iShares UK Equity Index Fund (UK) H Acc,UK
2.81,1.52,"
HSBC World Selection - Interest Income Portfolio Retail Accumulation",Alternatives and Other
3.5,0.87,HSBC World Selection - Interest Income Portfolio Accumulation C,Alternatives and Other
5.4,0.08,Vanguard FTSE U.K. All Share Index Unit Trust Income,UK
7.36,0.49,Dodge & Cox Worldwide Global Bond Fund GBP Inc,Bonds
4.7,0.76,Vontobel Fund - TwentyFour Strategic Income Fund AQN GBP,–
3.75,0.51,Royal London Sterling Credit Fund M Inc,Bonds
4.89,0.74,Threadneedle Monthly Extra Income Fund Z Income GBP,Alternatives and Other
2.99,0.83,ASI Dynamic Distribution Fund Platform 1-Inc-GBP-Unhedged,Alternatives and Other
5.87,0.32,JPM UK Equity Core Fund E - Net Income,UK
8.32,1.32,"
Magna Umbrella Fund plc - Magna Emerging Markets Dividend Fund B GBP Inc",Global
3.72,0.51,Royal London Corporate Bond Fund M Inc,Bonds
4.35,0.62,Schroder Sterling Corporate Bond Fund Z Accumulation GBP,Bonds
3.56,0.61,ASI Strategic Bond Fund I Inc,Bonds
2.49,0.72,"
Sarasin Sterling Bond Fund (Class I Inc)",Bonds
5.86,0.38,Baillie Gifford High Yield Bond Fund B Accumulation,Bonds
5.69,0.07,HSBC FTSE All Share Index Fund C Accumulation,UK
7.91,0.81,Neptune Income Fund C Inc GBP,UK
1.82,0.66,Legal & General Distribution Trust I Class Distribution,Alternatives and Other
3.3,0.55,TwentyFour Corporate Bond Fund GBP Distribution Class,Bonds
3.27,0.65,Liontrust Sustainable Future Corporate Bond Fund Class 2 Gross Income,Bonds
3.39,0.64,Royal London Sustainable Managed Income Trust Class C Inc,Alternatives and Other
5.13,0.88,Threadneedle UK Growth & Income Fund Z Income GBP,UK
3.06,0.82,ASI Dynamic Distribution Fund Platform 1-Acc-GBP-Unhedged,Alternatives and Other
7.63,0.84,"
BNY Mellon Asian Income Fund Institutional W Income",Asia and Emerging Markets
5.94,0.41,Legal & General Multi-Index Income 6 Fund I Class Distribution,Alternatives and Other
3.75,0.52,Royal London Corporate Bond Fund M Acc,Bonds
5.89,0.14,Royal London UK All Share Tracker Fund Z Accumulation,UK
5.42,0.08,Vanguard FTSE U.K. All Share Index Unit Trust Accumulation,UK
5.08,0.78,Invesco European High Income Fund (UK) Y (Inc),Alternatives and Other
20.43,1.05,Neptune Russia Fund C Acc GBP,Alternatives and Other
4.13,0.59,Artemis Strategic Bond Fund I Quarterly Inc,Bonds
3.54,0.61,ASI Strategic Bond Fund I Acc,Bonds
0.0,0.6,Capital Group US Corporate Bond Fund (LUX) Zgd GBP,Bonds
3.44,0.55,TwentyFour Corporate Bond Fund GBP Accumulation Class,Bonds
4.09,0.59,Artemis Strategic Bond Fund I Monthly Inc,Bonds
5.96,0.06,Fidelity Index UK P GBP Income,UK
9.18,0.9,JPM Emerging Markets Income Fund C - Net Income,Global
5.87,0.33,JPM UK Equity Core Fund E - Net Accumulation,UK
1.81,0.66,Legal & General Distribution Trust I Class Accumulation,Alternatives and Other
4.68,1.3,Premier Multi-Asset Distribution Fund Class C Income Shares,Alternatives and Other
2.54,0.72,"
Sarasin Sterling Bond Fund (Class I Acc)",Bonds
8.76,0.95,Schroder Asian Income Fund Z Income GBP,Asia and Emerging Markets
8.87,0.35,7IM European Equity Value Fund C Inc,Europe
7.64,0.84,"
BNY Mellon Asian Income Fund Institutional W Accumulation",Asia and Emerging Markets
5.95,0.41,Legal & General Multi-Index Income 6 Fund I Class Accumulation,Alternatives and Other
5.12,0.78,Invesco European High Income Fund (UK) Y (Acc),Alternatives and Other
9.15,0.23,Vanguard Pacific ex-Japan Stock Index Fund GBP Income,Asia and Emerging Markets
5.19,0.8,BMO Responsible UK Income Fund 2 Acc,UK
3.71,0.77,Fidelity Extra Income Net Y,Bonds
4.41,0.75,Fidelity Global High Yield Fund Y Income Shares,Bonds
4.9,1.3,Premier Multi-Asset Distribution Fund Class C Acc,Alternatives and Other
4.09,0.59,Artemis Strategic Bond Fund I Monthly Acc,Bonds
4.12,0.59,Artemis Strategic Bond Fund I Quarterly Acc,Bonds
3.51,0.65,JPM Global Bond Opportunities Fund C - Gross Income,Bonds
5.7,0.92,Schroder European Alpha Income Fund Z Income GBP,Europe
6.57,1.85,"
Schroder International Selection Fund Asian Equity Yield A Distribution GBP AV",–
4.88,0.92,Rathbone Strategic Income Portfolio Income,Alternatives and Other
9.18,0.9,JPM Emerging Markets Income Fund C - Net Accumulation,Global
8.89,0.94,Fidelity Global Enhanced Income Fund W GBP Acc,Global
8.76,0.95,Schroder Asian Income Fund Z Accumulation GBP,Asia and Emerging Markets
3.23,0.66,ASI (SLI) Corporate Bond Fund Platform 1-Inc-GBP-Unhedged,Bonds
4.32,1.12,HC Verbatim Portfolio 5 Income Fund Class B Inc,Alternatives and Other
3.51,0.81,Rathbone Strategic Bond Fund Institutional Class Inc,Bonds
5.05,0.88,Waverton Multi-Asset Income Fund P Stg£,Alternatives and Other
3.22,0.73,Aviva Investors Distribution Fund 2 GBP Inc,Alternatives and Other
4.77,0.8,"
BNY Mellon Investment Funds - Newton UK Equity Fund Institutional W Income",UK
3.51,0.65,JPM Global Bond Opportunities Fund C - Gross Accumulation,Bonds
5.96,0.06,Fidelity Index UK Fund P Accumulation,UK
9.15,0.23,Vanguard Pacific ex-Japan Stock Index Fund GBP Accumulation,Asia and Emerging Markets
3.26,0.66,ASI (SLI) Corporate Bond Fund Platform 1-Acc-GBP-Unhedged,Bonds
7.95,0.81,Neptune Income Fund C Acc GBP,UK
4.39,0.37,Legal & General Multi-Index Income 4 Fund I Class Distribution,Alternatives and Other
13.56,1.21,Jupiter Emerging European Opportunities I Acc,Alternatives and Other
5.33,0.4,Legal & General Multi-Index Income 5 Fund I Class Distribution,Alternatives and Other
3.46,0.81,Rathbone Strategic Bond Fund Institutional Class Acc,Bonds
5.74,0.92,Schroder European Alpha Income Fund Z Accumulation GBP,Europe
3.22,0.73,Aviva Investors Distribution Fund 2 GBP Acc,Alternatives and Other
5.31,0.52,Baillie Gifford Strategic Bond Fund B Income,Bonds
3.91,0.77,Fidelity Extra Income Fund Y Acc,Bonds
7.67,0.91,LF Canlife Global Equity Income Fund C Accumulation,Global
4.32,0.55,M&G Global Government Bond Fund Sterling I Inc,Bonds
4.77,0.8,"
BNY Mellon Investment Funds - Newton UK Equity Fund Institutional W Accumulation",UK
15.44,1.86,"
Schroder International Selection Fund Emerging Europe A Distribution GBP AV",Alternatives and Other
4.4,1.46,ASI Multi-Manager Multi-Asset Distribution Portfolio Class I - Acc,Alternatives and Other
3.68,0.61,BMO Multi-Sector Bond Fund C Inc,Bonds
3.73,0.55,Franklin UK Opportunities Fund W(acc),UK
4.12,0.57,Waverton Sterling Bond Fund P GBP Income,Bonds
4.4,0.37,Legal & General Multi-Index Income 4 Fund I Class Accumulation,Alternatives and Other
6.31,0.8,M&G Episode Income Fund Sterling I Inc,Alternatives and Other
9.2,0.13,Fidelity Index Pacific ex Japan Fund P Income Shares,Asia and Emerging Markets
5.08,0.4,Legal & General Multi-Index Income 5 Fund I Class Accumulation,Alternatives and Other
3.22,0.84,M&G Optimal Income Fund Sterling I Inc,Bonds
11.56,0.91,JPM Emerging Europe Equity Fund C - Net Accumulation,Alternatives and Other
3.44,0.52,Royal London Bond Funds II ICVC - Royal London Ethical Bond Fund M Income,Bonds
4.74,0.78,M&G Global Macro Bond Fund Sterling I Inc,Bonds
10.17,0.96,Artemis Global Emerging Markets Fund I Inc GBP,Asia and Emerging Markets
12.61,0.9,Fidelity Asian Dividend Fund W Inc,Asia and Emerging Markets
3.79,0.52,Royal London Bond Funds II ICVC - Royal London Ethical Bond Fund M Accumulation,Bonds
4.99,0.75,Fidelity Global High Yield Fund Y Accumulation Shares,Bonds
6.72,0.72,Hermes Multi-Strategy Credit Fund F GBP Distributing,Bonds
1.93,1.1,FP Octopus Fixed Income B Acc,Bonds
5.31,0.52,Baillie Gifford Strategic Bond Fund B Accumulation,Bonds
6.99,0.84,Investec UK Equity Income I Acc,UK
4.77,0.96,BlackRock Natural Resources Growth & Income Fund D Inc,Alternatives and Other
9.98,0.97,ASI Emerging Markets Income Equity Fund Platform 1-Inc-GBP-Unhedged,Global
2.82,0.42,HSBC Corporate Bond Fund C Inc,Bonds
5.35,0.83,JPM UK Dynamic Fund C - Net Income,UK
3.19,0.45,Close Bond Income Portfolio Fund X Inc,Bonds
7.26,0.88,Threadneedle Global Equity Income Fund Z Income GBP,Global
6.68,0.68,Royal London UK Equity Fund Class M Acc,UK
2.82,0.42,HSBC Corporate Bond Fund C Acc,Bonds
4.77,0.96,BlackRock Natural Resources Growth & Income Fund D Acc,Alternatives and Other
5.79,0.7,"
M&G European High Yield Bond Fund Sterling I Acc",Bonds
7.25,0.88,Threadneedle Global Equity Income Fund Z Accumulation GBP,Global
2.64,0.63,Aviva Investors Monthly Income Plus Fund R2 GBP Acc,Bonds
3.18,0.48,Close Bond Income Portfolio Fund X Acc,Bonds
4.12,0.69,Janus Henderson Strategic Bond Fund I Inc,Bonds
9.27,0.98,"
Sarasin Global Higher Dividend Fund (Class P Acc)",Global
9.2,0.13,Fidelity Index Pacific ex Japan Fund P Accumulation Shares,Asia and Emerging Markets
4.83,0.43,Marlborough Global Bond Fund Class P Inc,Bonds
4.27,1.66,VT Greystone Cautious Managed Fund R Inc,Alternatives and Other
11.07,0.66,Kames Global Equity Income Fund GBP C Inc,Global
2.8,0.61,BMO Corporate Bond Fund C Inc,Bonds
2.17,0.61,Jupiter Distribution I Inc,Alternatives and Other
4.26,1.66,VT Greystone Cautious Managed Fund R Acc,Alternatives and Other
4.12,0.69,Janus Henderson Strategic Bond Fund I Acc,Bonds
2.99,1.47,Janus Henderson Multi-Manager Diversified Fund I Inc,Alternatives and Other
4.1,0.28,Baillie Gifford Investment Grade Long Bond Fund B Income,Bonds
7.23,0.93,Fidelity Investment Funds IV - Fidelity Multi Asset Income & Growth Fund N Acc,Alternatives and Other
8.37,0.19,Legal & General Pacific Index Trust I Class Distribution,Asia and Emerging Markets
4.82,0.43,Marlborough Global Bond Fund Class P Acc,Bonds
9.14,0.98,"
Sarasin Global Higher Dividend Fund (Class P Inc)",Global
2.16,0.61,Jupiter Distribution I Acc,Alternatives and Other
4.77,0.76,Jupiter UK Special Situations I Inc,UK
10.07,0.86,M&G Global Dividend Fund Sterling I Inc,Global
6.55,1.12,Matthews Asia Funds - Dividend Fund I GBP Dist,Asia and Emerging Markets
11.17,0.9,TB Evenlode Income B Income,UK
10.23,0.8,"
BNY Mellon Global Income Fund Institutional W Income",Global
7.88,0.89,Man GLG Undervalued Assets Fund Professional Income Shares (Class D),UK
4.26,0.83,Threadneedle UK Fund Z Income GBP,UK
3.8,0.52,BlackRock Corporate Bond S Inc,Bonds
3.24,0.44,Legal & General Managed Monthly Income Trust I Class Accumulation,Bonds
3.33,0.57,AXA Sterling Corporate Bond Z Gross Inc,Bonds
8.33,0.19,Legal & General Pacific Index Trust I Class Accumulation,Asia and Emerging Markets
10.23,0.8,"
BNY Mellon Global Income Fund Institutional W Accumulation",Global
7.01,0.81,EdenTree Amity European Fund B Income,Europe
4.77,0.76,Jupiter UK Special Situations I Acc,UK
2.56,0.54,Kames Ethical Corporate Bond Fund GBP B Inc,Bonds
3.71,1.5,MGTS Future Money Income R Inc,Alternatives and Other
11.45,0.9,TB Evenlode Income B Accumulation,UK
2.91,0.28,Baillie Gifford Investment Grade Bond Fund B Income,Bonds
2.71,0.55,Kames Sterling Corporate Bond Fund GBP B Inc,Bonds
7.88,0.89,Man GLG Undervalued Assets Fund Professional Accumulation Shares (Class C),UK
4.31,0.77,AXA Distribution Z Inc,Alternatives and Other
3.78,0.52,BlackRock Corporate Bond S Acc,Bonds
4.28,1.68,BMO MM Navigator Cautious Fund C Inc,Alternatives and Other
8.25,0.25,HSBC Pacific Index Fund Income C,Asia and Emerging Markets
3.04,0.74,Threadneedle Strategic Bond Fund Z Income GBP,Bonds
8.59,0.3,ASI Asia Pacific Equity Enhanced Index Fund Class B Acc,Asia and Emerging Markets
6.86,1.07,BlackRock Global Funds - Global Equity Income Fund D5G GBP,–
11.18,0.78,First State Global Listed Infrastructure Fund Class B (Income) GBP,Global
3.35,0.57,AXA Sterling Corporate Bond Z Gross Acc,Bonds
7.59,0.48,Vanguard Global Equity Income Fund A GBP Inc,Global
2.57,0.54,Kames Ethical Corporate Bond Fund GBP B Acc,Bonds
2.71,0.55,Kames Sterling Corporate Bond Fund GBP B Acc,Bonds
3.71,1.5,MGTS Future Money Income R Acc,Alternatives and Other
7.88,1.02,Trojan Ethical Income Fund O Income,Alternatives and Other
4.09,0.77,AXA Distribution Z Acc,Alternatives and Other
4.01,1.49,Barclays Multi-Asset High Income Fund R Dis GBP,Alternatives and Other
5.1,0.85,Threadneedle Global Multi Asset Income Fund Z Income GBP,Alternatives and Other
11.22,0.78,First State Global Listed Infrastructure Fund Class B (Accumulation) GBP,Global
8.27,0.25,HSBC Pacific Index Fund Accumulation C,Asia and Emerging Markets
7.58,0.48,Vanguard Global Equity Income Fund A GBP Acc,Global
4.57,0.77,AXA Ethical Distribution Z Inc,Alternatives and Other
