3_years_annualised_%_,on_going_charge_%_,name,asset_class
3.95,0.61,ASI Euro Corporate Bond Fund Class I Inc,Bonds
13.64,0.87,"
ASI Europe ex UK Equity Fund I Acc",Europe
13.03,0.99,ASI UK Smaller Companies Fund Platform 1-Acc-GBP-Unhedged,UK
11.47,1.01,BlackRock Emerging Markets D Acc,Global
9.37,0.81,BMO Select European Equity Fund 2 Acc,Europe
17.01,1.0,NGAM Investment Funds U.K. ICVC - Loomis Sayles U.S. Equity Leaders Fund N/A(GBP),North America
2.84,0.52,Royal London Global Index Linked Fund M Inc,Bonds
9.95,0.88,Threadneedle European Smaller Companies Fund Z Accumulation GBP,Europe
12.65,0.92,Fidelity Global Special Situations Fund W Acc,Global
12.01,0.93,Schroder Global Equity Fund Z Accumulation GBP,Global
15.24,0.89,JPM Asia Growth Fund C - Net Accumulation,Asia and Emerging Markets
15.23,0.9,JPM Asia Growth Fund C - Net Income,Asia and Emerging Markets
12.44,1.0,LF Majedie Global Focus Fund - Class X GBP Accumulation,Global
16.59,0.83,Threadneedle American Fund Z Accumulation GBP,North America
14.81,0.92,TB Amati UK Smaller Companies B Acc,UK
10.45,0.78,Vanguard Global Emerging Markets Fund A GBP Acc,Asia and Emerging Markets
8.13,1.33,Architas Multi Asset Active Growth Fund S Net Income Shares,Alternatives and Other
11.52,0.81,FP Octopus International Equity B Acc,Global
10.68,0.86,M&G Global Themes Fund Sterling I Acc,Global
8.12,1.33,Architas Multi Asset Active Growth Fund S Net Accumulation Shares,Alternatives and Other
6.85,0.89,AXA Framlington Emerging Markets Z GBP Inc,Global
4.35,0.84,Unicorn Outstanding British Companies Institutional Acc,UK
6.86,0.89,AXA Framlington Emerging Markets Z GBP Acc,Global
8.39,1.1,BlackRock Global Funds - Asian Dragon Fund D4 GBP,Asia and Emerging Markets
13.29,0.98,LF Gresham House UK Micro Cap Fund C Income,UK
21.43,0.65,Lindsell Train Global Funds plc - Lindsell Train Global Equity Fund B GBP Inc,Global
9.83,0.96,Stewart Investors Asia Pacific Sustainability Fund Class B (Accumulation) GBP,Alternatives and Other
8.8,0.83,Allianz Continental European Fund Class C Shares Acc,Europe
10.38,1.11,FP Russell Investments ICVC - International Growth Assets Fund Class C Income,Global
10.39,1.11,FP Russell Investments ICVC - International Growth Assets Fund Class C Accumulation,Global
10.33,1.29,"
Legg Mason IF Martin Currie Emerging Markets Fund Class X Accumulation",Global
12.13,0.88,JPM Emerging Markets Fund C - Net Accumulation,Asia and Emerging Markets
13.28,0.98,LF Gresham House UK Micro Cap Fund C Accumulation,UK
12.1,0.91,JPM Emerging Markets Fund C - Net Income,Asia and Emerging Markets
16.59,0.83,Threadneedle American Fund Z Income GBP,North America
9.5,1.04,Goldman Sachs Emerging Markets Equity Portfolio R Inc GBP,Asia and Emerging Markets
5.47,0.84,Investec Global Multi-Asset Total Return Fund I GBP Acc,Alternatives and Other
10.0,1.11,Jupiter Fund of Investment Trusts I Acc,Global
14.88,0.87,"
ASI European Smaller Companies Fund I Acc",Europe
10.27,0.84,AXA Framlington UK Smaller Companies Fund Z GBP Acc,UK
21.8,0.32,Legal & General Global Technology Index Trust I Class Accumulation,Alternatives and Other
8.72,0.85,Marlborough UK Multi-Cap Growth Fund Class P Inc,UK
9.82,1.18,TB Wise Multi-Asset Growth B Acc,Alternatives and Other
10.44,0.59,Baillie Gifford European Fund B Accumulation,Europe
10.41,0.58,Baillie Gifford European Fund B Income,Europe
9.88,1.81,BMO Multi-Manager Investment Trust Fund C Acc,Alternatives and Other
4.22,1.56,IFSL Tilney Bestinvest Conservative Portfolio Clean Income,–
8.31,1.66,Janus Henderson Multi-Manager Global Select Fund I Acc,Global
11.84,0.79,JOHCM Global Select A GBP Inc,Global
15.33,0.89,BlackRock US Dynamic Fund D Income,North America
13.06,0.75,LF Majedie Global Equity Fund Class X GBP Accumulation,Global
7.28,0.97,Stewart Investors Worldwide Select Fund Class B (Accumulation) GBP,Global
4.19,1.56,IFSL Tilney Bestinvest Conservative Portfolio Clean Accumulation,–
13.6,0.89,Investec Asia Pacific Franchise Fund I Acc GBP,Asia and Emerging Markets
6.57,0.92,ASI Japanese Growth Equity Fund Platform 1-Acc-GBP-Unhedged,Japan
9.09,1.08,FP WHEB Sustainability Fund C GBP Income,Global
13.31,0.91,Artemis Global Select Fund I Acc,Global
15.31,0.89,BlackRock US Dynamic Fund D Accumulating,North America
10.48,0.93,BlackRock Continental European Fund D Acc,Europe
10.48,0.93,BlackRock Continental European Fund D Inc,Europe
14.91,0.06,Fidelity Index US Fund P Accumulation,North America
2.59,0.87,"
ASI Japanese Equity Fund I Acc",Japan
-1.04,1.17,BlackRock Gold and General Fund D Inc,Alternatives and Other
14.51,0.8,BNY Mellon Investment Funds - BNY Mellon Long-Term Global Equity Fund Institutional W Income,Global
9.88,1.08,Fidelity Funds - Asian Special Situations Fund W-DIST-GBP,Asia and Emerging Markets
11.36,0.95,Hermes Global Small Cap Equity Fund Class F GBP Distributing,Global
13.78,1.32,Legg Mason IF Martin Currie China Fund Class X Accumulation,Asia and Emerging Markets
11.02,0.92,BlackRock European Dynamic Fund FD Income,Europe
-1.04,1.17,BlackRock Gold and General Fund D Acc,Alternatives and Other
14.51,0.8,BNY Mellon Investment Funds - BNY Mellon Long-Term Global Equity Fund Institutional W Accumulation,Global
10.03,0.94,Merian UK Smaller Companies Fund U1 GBP Inc,UK
11.04,0.92,BlackRock European Dynamic Fund FD Accumulation,Europe
7.36,0.9,Capital Group Japan Equity Fund (LUX) Zd GBP,Japan
17.99,0.95,Fundsmith Equity I Acc,Global
17.99,0.95,Fundsmith Equity I Inc,Global
17.28,1.01,Jupiter UK Smaller Companies Fund I,UK
8.93,1.05,Lazard Developing Markets Fund C Acc,Global
10.03,0.94,Merian UK Smaller Companies Fund U1 GBP Acc,UK
11.1,1.19,Pictet-Water I dy GBP,Alternatives and Other
14.91,0.06,Fidelity Index US Fund P GBP Income,North America
11.11,0.9,Fidelity Emerging Asia Fund W-Accumulation,Asia and Emerging Markets
7.12,1.78,VT Greystone Balanced Managed Fund R Acc,Alternatives and Other
7.25,0.84,AXA Framlington Japan Fund Z GBP Acc,Japan
7.27,0.84,AXA Framlington Japan Fund Z INC,Japan
14.31,0.8,BMO Responsible Global Equity Fund 2 Acc,Global
4.46,0.6,Capital Group Euro Bond Fund (LUX) Zd GBP,Bonds
9.31,0.82,Unicorn Mastertrust B Inc,Alternatives and Other
7.13,1.78,VT Greystone Balanced Managed Fund R Inc,Alternatives and Other
14.31,0.81,BMO Responsible Global Equity Fund 2 Inc,Global
11.91,1.09,"
JPM Emerging Markets Fund B - Net Accumulation",Global
14.91,0.08,iShares US Equity Index Fund (UK) D Acc,North America
6.87,1.59,Premier Multi-Asset Global Growth C Acc,Alternatives and Other
14.15,0.84,Janus Henderson Global Sustainable Equity Fund I Inc,Global
12.14,0.9,M&G Global Select Fund Sterling I Acc,Global
14.22,0.93,Troy Trojan Global Equity O Acc,Global
14.21,0.93,Troy Trojan Global Equity O Inc,Global
13.45,0.73,Baillie Gifford Pacific B Inc,Asia and Emerging Markets
6.8,1.59,Premier Multi-Asset Global Growth Fund Class C Income Shares,Alternatives and Other
12.45,0.91,Threadneedle Pan European Focus Fund Z Accumulation GBP,Europe
6.32,1.5,Aviva Investors Multi-Manager 40-85% Shares Fund 2 GBP Acc,Alternatives and Other
6.32,1.5,Aviva Investors Multi-Manager 40-85% Shares Fund 2 GBP Inc,Alternatives and Other
13.46,0.73,Baillie Gifford Pacific B Acc,Asia and Emerging Markets
11.87,1.15,"
JPM Emerging Markets Fund B - Net Income",Global
10.57,0.79,Slater Growth Fund Class P Acc,UK
15.72,0.6,Baillie Gifford Global Alpha Growth Fund B Income,Global
7.69,1.06,GAM Star Japan Leaders Class Institutional GBP Accumulation,Japan
11.32,0.85,Marlborough UK Micro-Cap Growth Fund Class P Acc,UK
15.74,0.59,Baillie Gifford Global Alpha Growth Fund B Accumulation,Global
7.94,0.82,Goldman Sachs Japan Equity Portfolio R Inc GBP Snap,Japan
7.43,1.51,IFSL Tilney Bestinvest Aggressive Growth Portfolio Clean GBP Inc,Alternatives and Other
6.43,1.47,IFSL Tilney Bestinvest Growth Portfolio Clean GBP Acc,Alternatives and Other
6.42,1.47,IFSL Tilney Bestinvest Growth Portfolio Clean GBP Inc,Alternatives and Other
8.74,1.56,IFSL Tilney Bestinvest Maximum Growth Portfolio Clean Acc,–
8.73,1.56,IFSL Tilney Bestinvest Maximum Growth Portfolio Clean Inc,–
4.26,0.62,BlackRock Global Funds - Euro Bond Fund D4 GBP,–
7.44,1.51,IFSL Tilney Bestinvest Aggressive Growth Portfolio Clean GBP Acc,Alternatives and Other
14.14,0.84,Janus Henderson Global Sustainable Equity Fund I Acc,Global
13.58,0.98,VT Tyndall Global Select Fund Class B GBP Income,Global
7.54,1.32,BlackRock Global Funds -Sustainable Energy Fund D4 GBP,Alternatives and Other
17.79,0.94,LF Miton European Opportunities Fund B Accumulation,Europe
9.08,0.89,Stewart Investors Worldwide Sustainability Fund Class B (Income) GBP,Global
13.06,0.88,Capital Group New Perspective Fund (LUX) Zd GBP,Global
9.08,0.89,Stewart Investors Worldwide Sustainability Fund Class B (Accumulation) GBP,Global
7.69,1.06,GAM Star Japan Leaders Class Institutional GBP Income,Japan
14.69,1.02,Jupiter European I Acc,Europe
14.69,1.02,Jupiter European I Inc,Europe
16.18,0.6,Baillie Gifford International Fund B Income,Global
7.97,1.5,Troy Spectrum O Acc,Alternatives and Other
7.91,1.5,Troy Spectrum O Inc,Alternatives and Other
16.18,0.6,Baillie Gifford International Fund B Accumulation,Global
15.36,0.85,Threadneedle Global Select Fund Z Accumulation,Global
8.31,1.39,Schroder MM International Fund Z Accumulation GBP,Global
7.64,1.56,Aviva Investors Multi-Manager Flexible Fund 2 GBP Acc,Alternatives and Other
8.92,0.84,Man GLG Continental European Growth Fund Professional Accumulation Shares (Class C),Europe
12.3,1.0,Merian Global Equity Fund R GBP Acc,Global
14.23,0.81,Slater Recovery Fund Class P Acc,UK
14.87,0.06,HSBC American Index Fund Accumulation C,North America
14.86,0.06,HSBC American Index Fund Income C,North America
6.39,1.32,"
Sarasin Fund of Funds Global Diversified Growth P Acc",Alternatives and Other
10.0,0.92,Schroder Global Healthcare Fund Z Accumulation GBP,Global
10.01,0.92,Schroder Global Healthcare Fund Z Income GBP,Global
22.86,0.68,Cavendish AIM Fund B,UK
8.24,1.61,Close Strategic Alpha Fund X Acc,Alternatives and Other
15.21,0.9,Fidelity China Consumer Fund W-Accumulation,Asia and Emerging Markets
11.52,0.94,Goldman Sachs Global Equity Partners Portfolio R Inc GBP,Global
7.8,1.39,Margetts Opes Growth Fund R GBP Acc,Global
14.22,0.93,Fidelity Global Focus Fund W-Accumulation,Global
11.89,0.82,JPM Japan Fund C - Net Accumulation,Japan
5.91,0.11,iShares Index Linked Gilt Index Fund (UK) H Acc,Bonds
11.89,0.84,JPM Japan Fund C - Net Income,Japan
14.67,0.09,UBS S&P 500 Index Fund C Accumulation,North America
14.66,0.08,iShares North American Equity Index Fund (UK) H Acc,North America
15.66,1.08,Jupiter International Financials Fund I Acc,Alternatives and Other
15.24,0.85,Sentinel Enterprise Portfolio B Accumulation,Alternatives and Other
15.23,0.85,Sentinel Enterprise Portfolio Class B Inc,Alternatives and Other
14.54,0.85,Janus Henderson Global Equity Fund I Acc,Global
14.66,0.09,UBS S&P 500 Index Fund C Income,North America
14.53,0.55,JPM US Select Fund C - Net Accumulation,North America
14.46,0.1,Legal & General US Index Trust I Class Distribution,North America
13.86,0.93,Liontrust Sustainable Future Absolute Growth Fund Class 2 Net Accumulation,Alternatives and Other
15.51,0.88,Polar Capital Funds PLC - Polar Capital Global Insurance Fund I Acc,Alternatives and Other
17.05,0.53,Baillie Gifford Investment Funds II ICVC-Baillie Gifford Global Stewardship Fund B Accumulation,Global
14.45,0.1,Legal & General US Index Trust I Class Accumulation,North America
9.05,1.72,Jupiter Merlin Growth I Acc,Alternatives and Other
9.05,1.72,Jupiter Merlin Growth Portfolio Fund I Inc,Alternatives and Other
14.03,1.41,Liontrust UK Micro Cap Fund I Acc,UK
13.36,1.4,Liontrust UK Smaller Companies Fund I Acc,UK
13.36,1.4,Liontrust UK Smaller Companies Fund I Inc,UK
14.37,0.82,BMO North American Equity Fund 2 Acc,North America
13.95,0.97,LF Miton US Opportunities Fund B Accumulation,North America
15.51,0.63,Baillie Gifford Japanese Smaller Companies B Acc,Japan
15.5,0.63,Baillie Gifford Japanese Smaller Companies B Inc,Japan
16.11,1.0,Jupiter Financial Opportunities Fund I Acc,Alternatives and Other
16.11,1.0,Jupiter Financial Opportunities Fund I Inc,Alternatives and Other
6.44,0.82,AXA Framlington Health Fund Z GBP Acc,Alternatives and Other
6.45,0.82,AXA Framlington Health Fund Z INC,Alternatives and Other
11.87,1.13,Veritas Asian Fund A GBP,Asia and Emerging Markets
10.3,1.2,Pictet-Nutrition I dy GBP,Alternatives and Other
15.55,1.02,BMO Sustainable Opportunities Global Equity Fund C Acc,Global
13.95,0.88,Merian North American Equity Fund U1 GBP Acc,North America
13.71,1.25,JOHCM US Small Mid Cap Equity Fund A GBP Inc,North America
5.86,0.32,Royal London Index Linked Fund M Acc,Bonds
7.55,1.56,ASI Multi-Manager Ethical PortfolioClass I - Inc,Alternatives and Other
13.63,0.33,"
Schroder QEP US Core Fund I Income GBP",North America
13.6,0.33,"
Schroder QEP US Core Fund I Accumulation GBP",North America
10.03,0.8,Barings Europe Select Trust - Class I GBP Inc,Europe
5.56,1.06,Goldman Sachs India Equity Portfolio R Inc GBP,Alternatives and Other
12.68,1.11,Veritas Global Focus A GBP,Global
11.91,1.2,Pictet-Global Megatrend Selection I dy GBP,Global
3.1,0.84,Investec Global Gold I Acc GBP,Alternatives and Other
6.88,1.11,Stewart Investors Indian Subcontinent Sustainability Fund Class B (Accumulation) GBP,Alternatives and Other
13.45,0.78,JPM US Equity Income Fund C - Net Accumulation,North America
7.74,1.75,Courtiers Total Return Growth Acc,Alternatives and Other
5.45,1.39,Aberdeen Standard SICAV I - Asian Smaller Companies Fund X Acc GBP,Asia and Emerging Markets
6.98,1.31,Aberdeen Standard SICAV I - Indian Equity Fund X Acc GBP,Alternatives and Other
15.75,1.09,Ardevora Global Equity Fund C GBP Acc,Global
13.45,0.77,JPM US Equity Income Fund C - Net Income,North America
15.01,1.05,ASI Global Smaller Companies Fund Platform 1-Acc-GBP-Unhedged,Global
13.23,0.1,Vanguard US Equity Index Acc,North America
13.23,0.1,Vanguard US Equity Index Inc,North America
25.66,0.82,AXA Framlington Global Technology Fund Z GBP Acc,Alternatives and Other
25.66,0.82,AXA Framlington Global Technology Fund Z GBP Inc,Alternatives and Other
5.84,0.33,AXA Sterling Index Linked Bond Fund Z Gross Accumulation,Bonds
13.12,0.79,AXA Rosenberg American Z Acc,North America
12.47,0.88,Threadneedle American Smaller Companies Fund(US) Z Accumulation GBP,North America
20.14,0.78,Baillie Gifford Global Discovery Fund B Accumulation,Global
20.15,0.78,Baillie Gifford Global Discovery Fund B Income,Global
10.44,0.97,Barings Eastern Trust - Class I GBP Inc,Asia and Emerging Markets
11.27,1.0,Barings Emerging Markets Umbrella Fund - Barings Global Emerging Markets Fund Class I GBP Acc,Asia and Emerging Markets
6.39,0.81,Barings German Growth Trust - Class I GBP Acc,Europe
6.39,0.81,Barings German Growth Trust - Class I GBP Inc,Europe
12.31,0.99,Barings Global Umbrella Fund - Barings Eastern Europe Fund Class I GBP Acc,Alternatives and Other
7.88,1.0,Barings International Umbrella Fund - Barings ASEAN Frontiers Fund Class I GBP Acc,Asia and Emerging Markets
11.35,0.99,Barings International Umbrella Fund - Barings Hong Kong China Fund Class I GBP Acc,Asia and Emerging Markets
8.39,1.1,BlackRock Global Funds - Asian Dragon Fund D2 GBP,Asia and Emerging Markets
6.54,1.22,BlackRock Global Funds - India Fund D4 GBP,Alternatives and Other
5.29,0.9,Capital Group Emerging Markets Local Currency Debt Fund (LUX) Z GBP,Bonds
5.59,1.04,Capital Group Emerging Markets Total Opportunities (LUX) Z GBP,Alternatives and Other
4.47,0.6,Capital Group Euro Bond Fund (LUX) Z GBP,Bonds
4.47,0.6,Capital Group Euro Corporate Bond Fund (LUX) Z GBP,Bonds
5.04,0.91,Capital Group European Growth and Income Fund (LUX) Z GBP,Europe
8.47,0.91,Capital Group Global Allocation Fund (LUX) Z GBP,Alternatives and Other
3.77,0.6,Capital Group Global Bond Fund (LUX) Z GBP,Bonds
10.63,0.91,Capital Group Global Growth and Income Fund (LUX) Z GBP,Global
7.86,0.91,Capital Group Global High Income Opportunities (LUX) Z GBP,Bonds
7.37,0.9,Capital Group Japan Equity Fund (LUX) Z GBP,Japan
13.08,0.88,Capital Group New Perspective Fund (LUX) Z GBP,Global
0.0,1.05,Capital Group New World Fund (LUX) Z GBP,Alternatives and Other
0.0,0.6,Capital Group US Corporate Bond Fund (LUX) Z GBP,Bonds
5.66,1.31,Carmignac Portfolio Emerging Discovery W GBP Acc,Global
3.06,0.8,Carmignac Portfolio Unconstrained Global Bond W GBP Acc Hdg,Bonds
8.49,0.66,Dodge & Cox Worldwide Global Stock Fund GBP Accumulating Class,Global
12.44,0.91,Schroder US Smaller Companies Fund Z Accumulation GBP,North America
8.32,1.32,Fidelity Active Strategy - FAST - Asia Fund Y-ACC-GBP,–
15.0,1.28,Fidelity Active Strategy - FAST - Europe Fund W-ACC-GBP,–
8.22,1.3,Fidelity Active Strategy - FAST - UK Fund Y-ACC-GBP,UK
13.02,1.29,Fidelity Active Strategy - FAST - US Fund Y-ACC-GBP,–
11.91,1.08,Fidelity Funds - Asia Focus Fund W-Acc-GBP,Asia and Emerging Markets
7.01,0.89,Fidelity Funds - Asian High Yield Fund W-Acc-GBP,–
5.95,1.1,Fidelity Funds - Asian Smaller Companies Fund Y-Acc-GBP,Asia and Emerging Markets
11.24,1.09,Fidelity Funds - Emerging Asia Fund W-Acc-GBP,Asia and Emerging Markets
6.66,0.9,Fidelity Funds - Emerging Market Debt Fund W-Acc-GBP,Bonds
8.59,1.08,Fidelity Funds - Emerging Markets Fund W-Acc-GBP,–
6.96,1.07,Fidelity Funds - Euro Blue Chip Fund W-Acc-GBP,–
14.25,1.05,Fidelity Funds - European Dynamic Growth Fund W-Acc-GBP,Europe
7.32,1.04,Fidelity Funds - European Growth Fund W-Acc-GBP,Europe
12.74,1.06,Fidelity Funds - Global Consumer Industries Fund W-Acc-GBP,Global
11.68,1.09,Fidelity Funds - Global Demographics Fund Y-Acc-GBP,–
9.17,1.04,Fidelity Funds - Global Dividend Fund W-Acc-GBP,–
9.3,1.06,Fidelity Funds - Global Financial Services Fund W-Acc-GBP,Global
11.61,1.08,Fidelity Funds - Global Focus Fund W-Acc-GBP,–
11.06,1.06,Fidelity Funds - Global Health Care Fund W-Acc-GBP,Global
7.29,1.09,Fidelity Funds - Global Property Fund W-Acc-GBP,–
20.7,1.04,Fidelity Funds - Global Technology Fund W-Acc-GBP,Alternatives and Other
9.5,1.09,Fidelity Funds - India Focus Fund Y-GBP,Alternatives and Other
8.84,1.05,Fidelity Funds - International Fund W-Acc-GBP,–
6.59,1.08,Fidelity Funds - Latin America Fund W-Acc-GBP,Alternatives and Other
6.55,1.08,Fidelity Funds - Pacific Fund W-Acc-GBP,–
8.47,0.9,Fidelity Funds - US High Yield Fund W-Acc-GBP,–
14.26,1.03,First State Japan Focus Fund Class B (Accumulation) GBP,Japan
2.92,1.08,Franklin India Fund W(acc)GBP,Alternatives and Other
12.43,0.91,Schroder US Smaller Companies Fund Z Income GBP,North America
8.16,0.99,Guinness Asian Equity Income Fund Class Y GBP Accumulation,Asia and Emerging Markets
9.39,0.93,Guinness Global Equity Income Class Y GBP Accumulation,Global
11.87,0.99,Guinness Global Innovators Fund Y GBP ACC,Global
10.24,0.89,Hermes Europe ex-UK Equity Fund F GBP Acc,Europe
12.1,1.1,Hermes Global Emerging Markets Fund Class F GBP Accumulating,Asia and Emerging Markets
11.02,0.71,Hermes Global Equity Fund Class F GBP Accumulating,Global
5.85,0.76,Hermes Global High Yield Credit Fund Class F GBP Accumulating,Bonds
4.95,0.79,Hermes Global High Yield Credit Fund Class F GBP Accumulating Hedged,Bonds
11.25,0.95,Hermes Global Small Cap Equity Fund Class F GBP Accumulating,Global
6.88,0.72,Hermes Multi-Strategy Credit Fund F GBP Accumulating,Bonds
22.56,0.84,Janus Henderson Global Technology Fund I Acc,Alternatives and Other
5.53,0.54,Janus Henderson Index-Linked Bond Fund I Inc,Bonds
11.42,0.83,Schroder US Mid Cap Fund L Accumulation GBP,North America
11.41,0.83,Schroder US Mid Cap Fund L Income GBP,North America
11.28,0.68,Dodge & Cox Worldwide US Stock Fund A GBP,North America
10.84,0.86,Kames Global Equity Income Fund GBP B Acc,Global
14.7,0.92,Kames Global Sustainable Equity Fund GBP B Acc,Global
2.9,0.83,Kames Investment Grade Global Bond Fund B Acc GBP (Hedged),–
12.62,1.01,Legg Mason IF Japan Equity Fund Class X Accumulation,Japan
7.34,1.48,Matthews Asia Funds - Asia Small Companies Fund I GBP Acc,Asia and Emerging Markets
15.85,1.24,Matthews Asia Funds - China Fund I GBP Acc,Asia and Emerging Markets
6.56,1.15,Matthews Asia Funds - Dividend Fund I GBP Acc,Asia and Emerging Markets
7.49,1.1,Matthews Asia Funds - Pacific Tiger Fund I GBP Acc,Asia and Emerging Markets
6.94,1.2,Merian Global Emerging Markets Fund R GBP Acc,Asia and Emerging Markets
10.27,1.2,Merian Global Equity Income Fund (IRL) R GBP Acc,Global
13.29,0.9,Merian North American Equity Fund R GBP Acc,–
16.93,0.89,Neptune Global Alpha Fund C Acc GBP,Alternatives and Other
25.68,0.93,Neptune Global Technology Fund C GBP,Alternatives and Other
9.46,1.23,Nordea 1 - Emerging Stars Equity Fund BC GBP,–
11.45,1.2,Pictet - Global Environmental Opportunities I dy GBP,Global
9.01,1.19,Pictet-Clean Energy I dy GBP,Alternatives and Other
15.6,1.19,Pictet-Digital I dy GBP,Alternatives and Other
8.34,1.21,Pictet-Health I dy GBP,Alternatives and Other
8.22,1.07,Pictet-Indian Equities I GBP,Alternatives and Other
8.19,0.97,Pictet-Japanese Equity Opportunities I GBP,Japan
13.18,1.19,Pictet-Security I dy GBP,Alternatives and Other
14.46,1.18,Polar Capital Funds PLC - Biotechnology Fund I Inc GBP,Alternatives and Other
6.87,1.35,Polar Capital Funds PLC - Polar Capital Global Convertible Fund I Accumulation GBP,Alternatives and Other
25.98,1.12,Polar Capital Funds PLC - Polar Capital Global Technology Fund I Income GBP,Alternatives and Other
15.81,0.53,Rathbone Global Opportunities Fund S Acc,Global
10.62,0.36,RWC Funds - RWC Global Horizon Fund Class R GBP Cap,Global
4.38,1.06,SEI Global Assets Fund plc - The SEI Core Fund Sterling Wealth A Accumulating,–
-5.78,0.71,Smith & Williamson Global Gold and Resources B,Alternatives and Other
5.64,1.49,Templeton Emerging Markets Smaller Companies Fund W(acc)GBP,Global
4.1,0.69,Threadneedle (Lux) - European Corporate Bond 3G GBP,–
6.19,0.77,Threadneedle (Lux) - European High Yield Bond 3G (GBP Accumulation Shares),–
9.99,0.91,Threadneedle (Lux) - Pan European Smaller Companies 3G (GBP Accumulation Shares),–
11.27,0.68,Dodge & Cox Worldwide US Stock Fund GBP Inc,North America
14.16,0.89,Threadneedle Global Extended Alpha Fund Z Accumulation,Global
4.61,0.59,UBAM - Global High Yield Solution UHC GBP,–
7.45,0.91,Fidelity American Special Situations Fund W-Accumulation,North America
5.27,0.15,Vanguard Investments Funds ICVC-Vanguard U.K. Inflation-Linked Gilt Index Fund A GBP Gross Acc,Bonds
5.27,0.15,Vanguard Investments Funds ICVC-Vanguard U.K. Inflation-Linked Gilt Index Fund A GBP Gross Income,Bonds
11.47,1.0,Vontobel Fund - mtx Sustainable Emerging Markets Leaders N GBP,Asia and Emerging Markets
4.7,0.77,Vontobel Fund - TwentyFour Strategic Income Fund N GBP,–
11.47,1.72,VT Greystone Global Growth Fund R Acc,Global
